184192,20-MAR-19 08.00.00,online,108610,5,5731,494,493,196,Express,4,ship_asap,7,Business,17045,7
184194,23-MAR-19 08.00.00,online,181027,4,5445,416,415,304,Standard,3,ship_when_ready,7,Occasional,135261,7
184198,20-JAN-19 18.00.00,online,133751,5,4538,454,453,992,Standard,3,ship_when_ready,2,Prime,190186,2
184199,26-MAY-19 23.30.00,online,248043,5,5237,524,523,843,Next_Day,1,ship_when_ready,6,Occasional,64803,6
184205,24-DEC-19 05.00.00,direct,3361,5,4784,478,478,574,Standard,3,ship_when_ready,7,Occasional,25845,7
184206,23-NOV-19 21.00.00,direct,21276,6,7396,556,556,21,Standard,1,ship_when_ready,3,Prime,3618,3
184209,23-OCT-19 02.00.00,online,204493,4,4760,366,366,493,Standard,2,ship_asap,7,Occasional,167276,7
184212,06-AUG-19 11.00.00,direct,2676,6,5737,574,573,135,Standard,3,ship_asap,9,Occasional,366483,9
184214,01-FEB-19 01.00.00,online,188754,3,4187,303,302,882,Express,3,ship_when_ready,9,Occasional,86161,9
184219,06-JUN-19 02.00.00,online,760,6,6719,584,584,7,Express,2,ship_asap,7,Business,351268,7
184224,12-DEC-19 06.00.00,direct,42272,5,7527,490,489,203,Standard,2,ship_when_ready,5,Occasional,284164,5
184231,14-JUN-19 09.00.00,direct,137415,5,6225,505,504,162,Standard,2,ship_when_ready,9,Occasional,236904,9
184234,15-NOV-19 08.00.00,direct,21597,4,3453,346,345,582,Standard,1,ship_when_ready,6,Occasional,336353,6
184244,14-DEC-19 05.00.00,direct,232073,5,5735,447,446,896,Standard,4,ship_asap,5,Business,280835,5
186366,23-JAN-19 17.00.00,direct,138965,5,5986,499,498,203,Next_Day,1,ship_asap,5,Business,181868,5
186373,14-DEC-19 08.00.00,online,42522,6,5970,597,597,432,Next_Day,2,ship_when_ready,9,Prime,345982,9
186385,22-JUN-19 06.00.00,online,178488,5,7527,484,484,126,Standard,1,ship_asap,9,Business,261817,9
186387,05-MAY-19 13.00.00,direct,247249,4,4421,442,442,70,Standard,3,ship_when_ready,7,Occasional,250794,7
186388,02-AUG-19 12.00.00,direct,125875,4,3888,389,388,676,Standard,2,ship_when_ready,1,Occasional,336008,1
186395,06-AUG-19 11.00.00,direct,52026,7,8311,719,719,300,Standard,4,ship_asap,3,Occasional,237930,3
186398,19-APR-19 13.00.00,online,191493,5,6576,533,532,396,Express,3,ship_when_ready,9,Occasional,279783,9
